HH,4,LAT,ZBA,LPT,-9,-9,-9,11,1,1982,11,14,0720,-9,60,D,56.6333,19.1833,56.7000,19.2500,42G9,50,V,-9,1,1,C,-9,-9,-9,-9,140,22,-9,3,580,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,225,4,-9,1,7,-9,-9,-9,-9,-9
HL,4,LAT,ZBA,LPT,-9,-9,-9,11,1,1982,W,126436,1,-9,20,1,20,1,-9,28000,1,47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,4,LAT,ZBA,LPT,-9,-9,-9,11,1,1982,W,126436,1,-9,20,1,20,1,-9,28000,1,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,4,LAT,ZBA,LPT,-9,-9,-9,11,1,1982,W,126436,1,-9,20,1,20,1,-9,28000,1,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,4,LAT,ZBA,LPT,-9,-9,-9,11,1,1982,W,126436,1,-9,20,1,20,1,-9,28000,1,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,4,LAT,ZBA,LPT,-9,-9,-9,11,1,1982,W,126436,1,-9,20,1,20,1,-9,28000,1,54,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,4,LAT,ZBA,LPT,-9,-9,-9,11,1,1982,W,126436,1,-9,20,1,20,1,-9,28000,1,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,4,LAT,ZBA,LPT,-9,-9,-9,11,1,1982,W,126436,1,-9,20,1,20,1,-9,28000,1,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,4,LAT,ZBA,LPT,-9,-9,-9,11,1,1982,W,126436,1,-9,20,1,20,1,-9,28000,1,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,4,LAT,ZBA,LPT,-9,-9,-9,11,1,1982,W,126436,1,-9,20,1,20,1,-9,28000,1,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
