Record_type;Quarter;Country;Ship;Gear;SweepLngt;GearExp;DoorType;StNo;HaulNo;Year;Month;Day;TimeShot;Stratum;HaulDur;DayNight;ShootLat;ShootLong;HaulLat;HaulLong;StatRec;Depth;HaulVal;HydroStNo;StdSpecRecCode;BycSpecRecCode;DataType;Netopening;Rigging;Tickler;Distance;Warplngt;Warpdia;WarpDen;DoorSurface;DoorWgt;DoorSpread;WingSpread;Buoyancy;KiteDim;WgtGroundRope;TowDir;GroundSpeed;SpeedWater;SurCurDir;SurCurSpeed;BotCurDir;BotCurSpeed;WindDir;WindSpeed;SwellDir;SwellHeight;SurTemp;BotTemp;SurSal;BotSal;ThermoCline;ThClineDepth
HH;1;LAT;8;LBT;-9;-9;T;1;1;1976;1;10;825;-9;60;D;58.0333;21.25;58.9833;21.25;45H1;78;V;-9;1;1;C;-9;-9;-9;-9;300;-9;-9;-9;-9;-9;-9;-9;-9;-9;180;3;-9;-9;-9;-9;-9;0;2;-9;-9;-9;-9;-9;-9;-9;-9
HH;1;LAT;8;LBT;-9;-9;T;1;2;1976;1;10;1005;-9;60;D;57.9833;21.25;58.0333;21.25;44H1;78;V;-9;1;1;C;-9;-9;-9;-9;250;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;3;-9;-9;-9;-9;-9;0;2;-9;1;-9;-9;-9;-9;-9;-9
HH;1;LAT;8;LBT;-9;-9;T;1;3;1976;1;10;1330;-9;60;D;57.95;21.5;-9;-9;44H1;60;V;-9;1;1;C;-9;-9;-9;-9;250;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;1;-9;-9;-9;-9;-9;-9
HH;1;LAT;8;LBT;-9;-9;T;1;4;1976;1;10;1535;-9;60;D;57.9167;21.4667;57.9667;21.4667;44H1;65;V;-9;1;1;C;-9;-9;-9;-9;250;-9;-9;-9;-9;-9;-9;-9;-9;-9;5;3.1;-9;-9;-9;-9;-9;90;3;-9;0.5;-9;-9;-9;-9;-9;-9
HH;1;LAT;8;LBT;-9;-9;T;1;5;1976;1;11;750;-9;30;D;57.8833;21.6333;57.9;21.6333;44H1;47;V;-9;1;1;C;-9;-9;-9;-9;250;-9;-9;-9;-9;-9;-9;-9;-9;-9;360;3;-9;-9;-9;-9;-9;135;7;-9;2.7;-9;-9;-9;-9;-9;-9
HH;1;LAT;8;LBT;-9;-9;T;1;6;1976;1;12;900;-9;60;D;57.4167;21.0833;57.3667;21.1;43H1;77;V;-9;1;1;C;-9;-9;-9;-9;250;-9;-9;-9;-9;-9;-9;-9;-9;-9;180;3;-9;-9;-9;-9;-9;270;4;-9;1;-9;-9;-9;-9;-9;-9
HH;1;LAT;8;LBT;-9;-9;T;1;7;1976;1;12;1150;-9;60;D;57.25;21.05;57.2833;21.1333;43H1;70;V;-9;1;1;C;-9;-9;-9;-9;250;-9;-9;-9;-9;-9;-9;-9;-9;-9;50;3;-9;-9;-9;-9;-9;135;5;-9;1;-9;-9;-9;-9;-9;-9
HH;1;LAT;8;LBT;-9;-9;T;1;8;1976;1;12;1510;-9;60;D;57.4333;21.3;57.3833;21.2667;43H1;68;V;-9;1;1;C;-9;-9;-9;-9;250;-9;-9;-9;-9;-9;-9;-9;-9;-9;200;3;-9;-9;-9;-9;-9;45;6;-9;1.6;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;1;1976;4;16;720;-9;60;D;57.4667;21.2667;-9;-9;43H1;60;V;-9;1;1;C;-9;-9;-9;-9;300;-9;-9;-9;-9;-9;-9;-9;-9;-9;270;3.3;-9;-9;-9;-9;-9;0;0;-9;0;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;2;1976;4;16;930;-9;60;D;57.4667;21.05;57.4833;21.15;43H1;70;V;-9;1;1;C;-9;-9;-9;-9;350;-9;-9;-9;-9;-9;-9;-9;-9;-9;90;3.3;-9;-9;-9;-9;-9;0;0;-9;0;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;3;1976;4;16;1325;-9;35;D;57.2833;21.0333;57.3167;21.05;43H1;67;V;-9;1;1;C;-9;-9;-9;-9;350;-9;-9;-9;-9;-9;-9;-9;-9;-9;350;3.3;-9;-9;-9;-9;-9;315;2;-9;0.1;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;4;1976;4;17;835;-9;30;D;57.1833;20.6667;-9;-9;43H0;80;V;-9;1;1;C;-9;-9;-9;-9;375;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;3.3;-9;-9;-9;-9;-9;203;4;-9;1;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;5;1976;4;17;1150;-9;30;D;57.0333;20.4667;57.0833;20.5;43H0;95;V;-9;1;1;C;-9;-9;-9;-9;400;-9;-9;-9;-9;-9;-9;-9;-9;-9;30;3.3;-9;-9;-9;-9;-9;203;5;-9;1.6;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;6;1976;4;17;1450;-9;30;D;57.2667;20.9167;57.3;20.9833;43H0;60;V;-9;1;1;C;-9;-9;-9;-9;300;-9;-9;-9;-9;-9;-9;-9;-9;-9;80;3.2;-9;-9;-9;-9;-9;225;5;-9;1.6;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;7;1976;4;18;1425;-9;35;D;56.65;20.6833;56.6;20.65;42H0;40;V;-9;1;1;C;-9;-9;-9;-9;250;-9;-9;-9;-9;-9;-9;-9;-9;-9;210;3.2;-9;-9;-9;-9;-9;0;0;-9;0;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;8;1976;4;18;1730;-9;30;D;56.6167;20.6;56.65;20.65;42H0;66;V;-9;1;1;C;-9;-9;-9;-9;350;-9;-9;-9;-9;-9;-9;-9;-9;-9;50;3.2;-9;-9;-9;-9;-9;0;0;-9;0;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;9;1976;4;19;755;-9;40;D;55.7;20.75;55.7333;20.7;40H0;44;V;-9;1;1;C;-9;-9;-9;-9;250;-9;-9;-9;-9;-9;-9;-9;-9;-9;320;3.3;-9;-9;-9;-9;-9;180;2;-9;0.1;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;10;1976;4;19;1055;-9;55;D;55.6833;20.35;55.6833;20.25;40H0;66;V;-9;1;1;C;-9;-9;-9;-9;300;-9;-9;-9;-9;-9;-9;-9;-9;-9;260;3.3;-9;-9;-9;-9;-9;225;3;-9;0.5;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;11;1976;4;23;800;-9;60;D;56.2;19.2667;56.1333;19.1833;41G9;140;V;-9;1;1;C;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;220;3;-9;-9;-9;-9;-9;45;4;-9;1.6;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;12;1976;4;23;1230;-9;60;D;56.2;19.15;56.1167;19.1333;41G9;126;V;-9;1;1;C;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;190;3;-9;-9;-9;-9;-9;315;3;-9;0.5;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;13;1976;4;23;1555;-9;30;D;56.0333;18.9667;55.9667;18.9667;41G8;120;V;-9;1;1;C;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;293;5;-9;1.6;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;14;1976;4;24;635;-9;30;D;55.85;18.75;55.6667;18.75;40G8;118;V;-9;1;1;C;-9;-9;-9;-9;450;-9;-9;-9;-9;-9;-9;-9;-9;-9;180;3.2;-9;-9;-9;-9;-9;360;2;-9;0.1;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;15;1976;4;24;1100;-9;30;D;55.7167;18.55;55.6833;18.5;40G8;100;V;-9;1;1;C;-9;-9;-9;-9;425;-9;-9;-9;-9;-9;-9;-9;-9;-9;200;3.1;-9;-9;-9;-9;-9;315;3;-9;0.5;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;16;1976;4;24;1435;-9;30;D;55.4167;18.3833;55.4667;18.4167;39G8;90;V;-9;1;1;C;-9;-9;-9;-9;375;-9;-9;-9;-9;-9;-9;-9;-9;-9;30;3;-9;-9;-9;-9;-9;45;3;-9;0.5;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;17;1976;4;25;635;-9;60;D;54.9;19.2667;-9;-9;38G9;110;V;-9;1;1;C;-9;-9;-9;-9;450;-9;-9;-9;-9;-9;-9;-9;-9;-9;220;3;-9;-9;-9;-9;-9;45;7;-9;4.7;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;18;1976;4;25;1240;-9;40;D;54.9333;18.7833;54.9667;18.7167;38G8;95;V;-9;1;1;C;-9;-9;-9;-9;400;-9;-9;-9;-9;-9;-9;-9;-9;-9;310;3.2;-9;-9;-9;-9;-9;45;6;-9;1.6;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;19;1976;4;26;730;-9;70;D;54.7167;15.8333;-9;-9;38G5;72;V;-9;1;1;C;-9;-9;-9;-9;275;-9;-9;-9;-9;-9;-9;-9;-9;-9;90;3;-9;-9;-9;-9;-9;135;7;-9;2.7;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;20;1976;4;26;1040;-9;30;D;54.95;15.8833;54.95;15.8833;38G5;80;V;-9;1;1;C;-9;-9;-9;-9;375;-9;-9;-9;-9;-9;-9;-9;-9;-9;210;3.2;-9;-9;-9;-9;-9;45;5;-9;1.6;-9;-9;-9;-9;-9;-9
HH;2;LAT;4576;LBT;-9;-9;-9;4;21;1976;4;26;1305;-9;40;D;55.1167;15.9667;55.1167;15.9;39G5;93;V;-9;1;1;C;-9;-9;-9;-9;375;-9;-9;-9;-9;-9;-9;-9;-9;-9;270;3;-9;-9;-9;-9;-9;45;3;-9;0.5;-9;-9;-9;-9;-9;-9
HH;4;LAT;4576;LBT;-9;-9;-9;12;1;1976;12;14;735;-9;30;D;57.05;23.9;57.0667;23.8667;43H3;25;V;-9;1;1;C;-9;-9;-9;-9;175;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;45;2;-9;0.1;-9;-9;-9;-9;-9;-9
HH;3;LAT;4576;LBT;-9;-9;-9;9;1;1976;9;16;1111;-9;30;D;57.95;21.6667;57.9167;21.6667;44H1;41;V;-9;1;1;C;-9;-9;-9;-9;200;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3.6;-9;-9;-9;-9;-9;23;6;-9;1.6;-9;-9;-9;-9;-9;-9
