RecordType;Quarter;Country;Ship;Gear;SweepLngt;GearExp;DoorType;StNo;HaulNo;Year;SpecCodeType;SpecCode;SpecVal;Sex;TotalNo;CatIdentifier;NoMeas;SubFactor;SubWgt;CatCatchWgt;LngtCode;LngtClass;HLNoAtLngt;Species
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;48;3;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;37;6;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;38;4;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;40;6;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;43;5;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;44;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;45;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;83;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;47;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;34;5;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;49;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;50;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;53;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;56;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;60;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;46;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;28;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;5;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;6;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;7;3;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;8;3;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;9;3;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;10;12;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;36;5;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;12;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;35;5;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;29;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;30;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;31;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;32;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;33;5;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;41;3;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;11;5;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;126436;1;-9;100;1;100;1;-9;51700;1;39;3;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;1;1976;W;127141;4;-9;51;1;-9;1;-9;11000;-9;-9;-9;Platichthys flesus
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;47;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;38;9;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;39;3;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;40;8;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;42;3;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;43;6;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;44;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;56;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;46;4;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;37;13;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;49;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;50;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;51;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;52;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;60;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;53;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;9;11;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;45;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;26;8;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;34;8;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;8;4;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;10;3;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;12;2;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;14;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;19;1;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;23;3;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;11;3;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;25;5;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;35;12;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;27;7;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;28;16;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;29;7;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;30;13;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;31;14;Gadus morhua
HL;1;LAT;8;LBT;-9;-9;T;1;2;1976;W;126436;1;-9;221;1;221;1;-9;80000;1;32;9;Gadus morhua
