haul.id;Country;Ship;Gear;Year;SweepLngt;Depth;Fishing line;Size.final..m;Horizontal.opening..m.;Swep.one.side..after.formula…meter;Swept.area;RSA;GroundSpeed;RS
1976:1:LAT:8:LBT:1:1;LAT;8;LBT;1976;82;78;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:1:LAT:8:LBT:1:2;LAT;8;LBT;1976;82;78;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:1:LAT:8:LBT:1:3;LAT;8;LBT;1976;82;60;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:1:LAT:8:LBT:1:4;LAT;8;LBT;1976;82;65;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.1;0.97
1976:1:LAT:8:LBT:1:5;LAT;8;LBT;1976;82;47;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:1:LAT:8:LBT:1:6;LAT;8;LBT;1976;82;77;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:1:LAT:8:LBT:1:7;LAT;8;LBT;1976;82;70;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:1:LAT:8:LBT:1:8;LAT;8;LBT;1976;82;68;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:2:LAT:4576:LBT:4:1;LAT;4576;LBT;1976;82;60;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:2:LAT:4576:LBT:4:10;LAT;4576;LBT;1976;82;66;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:2:LAT:4576:LBT:4:11;LAT;4576;LBT;1976;82;140;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:2:LAT:4576:LBT:4:12;LAT;4576;LBT;1976;82;126;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:2:LAT:4576:LBT:4:13;LAT;4576;LBT;1976;82;120;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:2:LAT:4576:LBT:4:14;LAT;4576;LBT;1976;82;118;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:2:LAT:4576:LBT:4:15;LAT;4576;LBT;1976;82;100;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.1;0.97
1976:2:LAT:4576:LBT:4:16;LAT;4576;LBT;1976;82;90;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:2:LAT:4576:LBT:4:17;LAT;4576;LBT;1976;82;110;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:2:LAT:4576:LBT:4:18;LAT;4576;LBT;1976;82;95;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:2:LAT:4576:LBT:4:19;LAT;4576;LBT;1976;82;72;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:2:LAT:4576:LBT:4:2;LAT;4576;LBT;1976;82;70;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:2:LAT:4576:LBT:4:20;LAT;4576;LBT;1976;82;80;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:2:LAT:4576:LBT:4:21;LAT;4576;LBT;1976;82;93;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:2:LAT:4576:LBT:4:3;LAT;4576;LBT;1976;82;67;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:2:LAT:4576:LBT:4:4;LAT;4576;LBT;1976;82;80;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:2:LAT:4576:LBT:4:5;LAT;4576;LBT;1976;82;95;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:2:LAT:4576:LBT:4:6;LAT;4576;LBT;1976;82;60;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:2:LAT:4576:LBT:4:7;LAT;4576;LBT;1976;82;40;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:2:LAT:4576:LBT:4:8;LAT;4576;LBT;1976;82;66;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:2:LAT:4576:LBT:4:9;LAT;4576;LBT;1976;82;44;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:2:LAT:4576:LBT:6:1;LAT;4576;LBT;1976;82;70;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.4;0.88
1976:2:LAT:4576:LBT:6:10;LAT;4576;LBT;1976;82;16;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.4;0.88
1976:2:LAT:4576:LBT:6:2;LAT;4576;LBT;1976;82;73;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.4;0.88
1976:2:LAT:4576:LBT:6:3;LAT;4576;LBT;1976;82;90;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:2:LAT:4576:LBT:6:4;LAT;4576;LBT;1976;82;90;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:2:LAT:4576:LBT:6:5;LAT;4576;LBT;1976;82;12;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:2:LAT:4576:LBT:6:6;LAT;4576;LBT;1976;82;12;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:2:LAT:4576:LBT:6:7;LAT;4576;LBT;1976;82;105;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.4;0.88
1976:2:LAT:4576:LBT:6:8;LAT;4576;LBT;1976;82;100;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.4;0.88
1976:2:LAT:4576:LBT:6:9;LAT;4576;LBT;1976;82;20;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:3:LAT:4576:LBT:9:1;LAT;4576;LBT;1976;82;41;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.6;0.83
1976:3:LAT:4576:LBT:9:10;LAT;4576;LBT;1976;82;72;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:11;LAT;4576;LBT;1976;82;40;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:12;LAT;4576;LBT;1976;82;27;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.6;0.83
1976:3:LAT:4576:LBT:9:13;LAT;4576;LBT;1976;82;90;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:3:LAT:4576:LBT:9:14;LAT;4576;LBT;1976;82;40;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:15;LAT;4576;LBT;1976;82;55;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:16;LAT;4576;LBT;1976;82;62;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.4;0.88
1976:3:LAT:4576:LBT:9:17;LAT;4576;LBT;1976;82;40;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.4;0.88
1976:3:LAT:4576:LBT:9:18;LAT;4576;LBT;1976;82;50;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:19;LAT;4576;LBT;1976;82;60;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:2;LAT;4576;LBT;1976;82;43;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.7;0.81
1976:3:LAT:4576:LBT:9:20;LAT;4576;LBT;1976;82;50;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:21;LAT;4576;LBT;1976;82;45;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:3:LAT:4576:LBT:9:22;LAT;4576;LBT;1976;82;71;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:23;LAT;4576;LBT;1976;82;70;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:24;LAT;4576;LBT;1976;82;10;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:25;LAT;4576;LBT;1976;82;18;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:3:LAT:4576:LBT:9:26;LAT;4576;LBT;1976;82;28;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:3:LAT:4576:LBT:9:27;LAT;4576;LBT;1976;82;45;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.4;0.88
1976:3:LAT:4576:LBT:9:28;LAT;4576;LBT;1976;82;71;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:29;LAT;4576;LBT;1976;82;75;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:3;LAT;4576;LBT;1976;82;62;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:30;LAT;4576;LBT;1976;82;37;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:3:LAT:4576:LBT:9:31;LAT;4576;LBT;1976;82;37;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:3:LAT:4576:LBT:9:4;LAT;4576;LBT;1976;82;28;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.4;0.88
1976:3:LAT:4576:LBT:9:5;LAT;4576;LBT;1976;82;78;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.6;0.83
1976:3:LAT:4576:LBT:9:6;LAT;4576;LBT;1976;82;75;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:7;LAT;4576;LBT;1976;82;85;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:3:LAT:4576:LBT:9:8;LAT;4576;LBT;1976;82;50;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:3:LAT:4576:LBT:9:9;LAT;4576;LBT;1976;82;64;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:1;LAT;4576;LBT;1976;82;25;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:10;LAT;4576;LBT;1976;82;60;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:11;LAT;4576;LBT;1976;82;70;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:4:LAT:4576:LBT:12:12;LAT;4576;LBT;1976;82;72;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:4:LAT:4576:LBT:12:13;LAT;4576;LBT;1976;82;40;28;61.2063234;18.76;21.2231617;0.341531285;1.33;2.5;1.2
1976:4:LAT:4576:LBT:12:14;LAT;4576;LBT;1976;82;62;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:15;LAT;4576;LBT;1976;82;59;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.3;0.91
1976:4:LAT:4576:LBT:12:16;LAT;4576;LBT;1976;82;64;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:4:LAT:4576:LBT:12:17;LAT;4576;LBT;1976;82;68;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:18;LAT;4576;LBT;1976;82;100;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:19;LAT;4576;LBT;1976;82;90;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:2;LAT;4576;LBT;1976;82;40;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:20;LAT;4576;LBT;1976;82;90;28;61.2063234;18.76;21.2231617;0.341531285;1.33;2.8;1.07
1976:4:LAT:4576:LBT:12:21;LAT;4576;LBT;1976;82;46;28;61.2063234;18.76;21.2231617;0.341531285;1.33;2.8;1.07
1976:4:LAT:4576:LBT:12:22;LAT;4576;LBT;1976;82;40;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:23;LAT;4576;LBT;1976;82;45;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:24;LAT;4576;LBT;1976;82;52;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.4;0.88
1976:4:LAT:4576:LBT:12:25;LAT;4576;LBT;1976;82;57;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:4:LAT:4576:LBT:12:26;LAT;4576;LBT;1976;82;70;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:4:LAT:4576:LBT:12:27;LAT;4576;LBT;1976;82;48;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:28;LAT;4576;LBT;1976;82;65;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:4:LAT:4576:LBT:12:29;LAT;4576;LBT;1976;82;70;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:3;LAT;4576;LBT;1976;82;40;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:30;LAT;4576;LBT;1976;82;67;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:4;LAT;4576;LBT;1976;82;20;28;61.2063234;18.76;21.2231617;0.341531285;1.33;2.5;1.2
1976:4:LAT:4576:LBT:12:5;LAT;4576;LBT;1976;82;40;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:4:LAT:4576:LBT:12:6;LAT;4576;LBT;1976;82;42;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:4:LAT:4576:LBT:12:7;LAT;4576;LBT;1976;82;25;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1976:4:LAT:4576:LBT:12:8;LAT;4576;LBT;1976;82;61;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1976:4:LAT:4576:LBT:12:9;LAT;4576;LBT;1976;82;75;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:1:1;LAT;4576;LBT;1978;82;43;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1978:1:LAT:4576:LBT:1:10;LAT;4576;LBT;1978;82;65;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:1:11;LAT;4576;LBT;1978;82;65;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:1:12;LAT;4576;LBT;1978;82;68;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
