haul.id;Country;Ship;Gear;Year;SweepLngt;Depth;Fishing line;Size.final..m;Horizontal.opening..m.;Swep.one.side..after.formula…meter;Swept.area;RSA;GroundSpeed;RS
1991:1:DEN:DAN2:CAM:150:67;DEN;DAN2;CAM;1991;NA;76;NA;NA;NA;NA;NA;NA;2.8;1.07
1991:1:DEN:DAN2:CAM:151:68;DEN;DAN2;CAM;1991;NA;71;NA;NA;NA;NA;NA;NA;2.8;1.07
1991:1:DEN:DAN2:CAM:152:69;DEN;DAN2;CAM;1991;NA;80;NA;NA;NA;NA;NA;NA;2.8;1.07
1991:1:DEN:DAN2:EXP:147:65;DEN;DAN2;EXP;1991;110;80;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:EXP:149:66;DEN;DAN2;EXP;1991;110;83;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:1:2;DEN;DAN2;GRT;1991;60;34;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:10:8;DEN;DAN2;GRT;1991;60;47;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:101:54;DEN;DAN2;GRT;1991;110;79;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:102:55;DEN;DAN2;GRT;1991;60;60;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:103:56;DEN;DAN2;GRT;1991;110;80;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:106:57;DEN;DAN2;GRT;1991;110;80;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:107:58;DEN;DAN2;GRT;1991;110;81;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:108:59;DEN;DAN2;GRT;1991;110;73;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:11:9;DEN;DAN2;GRT;1991;60;50;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:120:60;DEN;DAN2;GRT;1991;60;64;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:121:61;DEN;DAN2;GRT;1991;110;84;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:122:62;DEN;DAN2;GRT;1991;110;80;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:123:63;DEN;DAN2;GRT;1991;110;76;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:124:64;DEN;DAN2;GRT;1991;110;72;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:13:10;DEN;DAN2;GRT;1991;60;38;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:14:11;DEN;DAN2;GRT;1991;60;47;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:15:12;DEN;DAN2;GRT;1991;60;51;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:153:70;DEN;DAN2;GRT;1991;110;72;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:18:13;DEN;DAN2;GRT;1991;110;76;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:19:14;DEN;DAN2;GRT;1991;110;76;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:2:3;DEN;DAN2;GRT;1991;60;36;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:23:15;DEN;DAN2;GRT;1991;60;61;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:24:16;DEN;DAN2;GRT;1991;110;79;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:25:17;DEN;DAN2;GRT;1991;110;79;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:28:18;DEN;DAN2;GRT;1991;110;79;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:29:19;DEN;DAN2;GRT;1991;60;49;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:30:20;DEN;DAN2;GRT;1991;60;49;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:31:21;DEN;DAN2;GRT;1991;60;60;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:34:22;DEN;DAN2;GRT;1991;60;47;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:35:23;DEN;DAN2;GRT;1991;60;54;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:36:24;DEN;DAN2;GRT;1991;60;55;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:37:25;DEN;DAN2;GRT;1991;110;86;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:40:26;DEN;DAN2;GRT;1991;110;90;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:41:27;DEN;DAN2;GRT;1991;60;60;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:44:28;DEN;DAN2;GRT;1991;60;54;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:45:29;DEN;DAN2;GRT;1991;110;99;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:46:30;DEN;DAN2;GRT;1991;110;114;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:49:31;DEN;DAN2;GRT;1991;110;112;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:5:5;DEN;DAN2;GRT;1991;60;46;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:50:32;DEN;DAN2;GRT;1991;110;80;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:53:33;DEN;DAN2;GRT;1991;110;86;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:54:34;DEN;DAN2;GRT;1991;110;86;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:55:35;DEN;DAN2;GRT;1991;110;74;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:56:36;DEN;DAN2;GRT;1991;110;70;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:69:37;DEN;DAN2;GRT;1991;110;97;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:7:6;DEN;DAN2;GRT;1991;60;47;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:71:39;DEN;DAN2;GRT;1991;110;89;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:72:1;DEN;DAN2;GRT;1991;110;104;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:75:40;DEN;DAN2;GRT;1991;110;121;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:76:41;DEN;DAN2;GRT;1991;110;113;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:79:42;DEN;DAN2;GRT;1991;110;75;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:8:7;DEN;DAN2;GRT;1991;60;49;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:80:43;DEN;DAN2;GRT;1991;110;119;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:81:44;DEN;DAN2;GRT;1991;110;108;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:82:45;DEN;DAN2;GRT;1991;110;83;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:83:46;DEN;DAN2;GRT;1991;110;88;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:90:47;DEN;DAN2;GRT;1991;110;82;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:93:48;DEN;DAN2;GRT;1991;110;86;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:94:49;DEN;DAN2;GRT;1991;110;91;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:95:50;DEN;DAN2;GRT;1991;110;90;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:96:51;DEN;DAN2;GRT;1991;110;83;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:97:52;DEN;DAN2;GRT;1991;110;70;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1991:1:DEN:DAN2:GRT:98:53;DEN;DAN2;GRT;1991;110;72;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1992:1:DEN:DAN2:EGY:28:19;DEN;DAN2;EGY;1992;60;66;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:EGY:29:20;DEN;DAN2;EGY;1992;60;72;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:EGY:30:21;DEN;DAN2;EGY;1992;60;72;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:EGY:31:22;DEN;DAN2;EGY;1992;60;62;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:EGY:37:26;DEN;DAN2;EGY;1992;60;60;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:EGY:38:27;DEN;DAN2;EGY;1992;60;59;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:EGY:39:28;DEN;DAN2;EGY;1992;60;76;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:1:1;DEN;DAN2;GRT;1992;60;10;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:10:7;DEN;DAN2;GRT;1992;60;46;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:101:61;DEN;DAN2;GRT;1992;110;87;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:102:62;DEN;DAN2;GRT;1992;110;78;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:103:63;DEN;DAN2;GRT;1992;110;78;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:104:64;DEN;DAN2;GRT;1992;60;45;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:105:65;DEN;DAN2;GRT;1992;60;44;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:11:8;DEN;DAN2;GRT;1992;60;55;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:12:9;DEN;DAN2;GRT;1992;60;53;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:13:10;DEN;DAN2;GRT;1992;60;54;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:15:11;DEN;DAN2;GRT;1992;60;59;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:16:12;DEN;DAN2;GRT;1992;110;71;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:18:13;DEN;DAN2;GRT;1992;110;75;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:2:2;DEN;DAN2;GRT;1992;60;10;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:20:14;DEN;DAN2;GRT;1992;110;75;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:22:15;DEN;DAN2;GRT;1992;110;79;NA;NA;NA;28.47009496;NA;NA;2.8;1.07
1992:1:DEN:DAN2:GRT:23:16;DEN;DAN2;GRT;1992;60;68;NA;NA;NA;15.52914271;NA;NA;2.8;1.07
