N;FROMYEAR;STA_FROMDATETIME;VESS_SIGNAL;VESS_NAME;VESS_DISTRICT;TYPE;STA_SAMPTYPE_CODENOID;SAMPTYPE_NAMEENG;STA_SUBDIV_SUBDIV;SUBNAMN;STA_ICESRECT_RUTA;LATSTART_DEG;LONGSTART_DEG;LATSTOP_DEG;LONGSTOP_DEG;STA_DURATION;STA_SPEED;STA_DIST;STA_COURSE;STA_BOTSTART;STA_BOTSTOP;STA_BOTMAX;STA_BOTAVG;GEARMOD_REDSKAP_REDSKKOD;REDSKENG;GEARMOD_NAMEENG;STA_SELECTIONDEVICE;STA_SELECTIONDEVICEMESH;STA_HEADROPEDEPTHMAX;STA_HEADROPEDEPTHMIN;STA_FOOTROPEDEPTH;TOTD_NAMEENG;TOTD_AREA;STA_SWEEPLENGTH;STA_STROPLENGTHDOORFLOATS;STAVALCODE_DESCENG;index;Lat1;Lon1;LATDD;LONGDD;Size.final..m.;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;sweep both sides (foot);Swept.area;RSA;RS
1;2009;2009-08-05 00:00;SFB-2960;NORÖ;KR - 192;Swedish vessel;80;Coastal Laboratory - DCF;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 11,000;17 07,000;;;;;;;;;;;711;GNS Gillnet set;GNS GILL NET FOR FLOUNDERS;0;;;;;;;75;;Valid;SFB-2960.2009.999;5711;1707;57.183;17.117;0;0;0;;0;0;;0;;
2;2014;2014-12-09 00:00;SLOT;RÖNNSKÄR;HL - 94;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5262;61 58,000;17 26,000;;;90;;;;;;;;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;;;;;;;;;Valid;SLOT.2014.999;6158;1726;61.967;17.433;0;0;0;;0;0;;0;;
3;1982;1982-11-30 10:00;SEPM;THETIS;;Swedish vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 12,000;13 45,800;55 14,100;13 42,200;60;3.5;3.5;300;44;43;;43;319;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR COD;0;0;;;;;;135;;Valid;SEPM.1982.56;5512;1345.8;55.2;13.763;86.21842218;282.8688392;16.33728;80;69.88114218;229.2688392;885.8267717;0.481098796;0.94;0.9
4;2011;2011-09-22 00:00;SFB-6947;SILVERVÅG;UÅ - 57;Swedish vessel;80;Coastal Laboratory - DCF;31;Sub-31 (Bottenviken);5766;64 16,000;21 17,000;;;300;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;;;;;;;;;;Valid;SFB-6947.2011.999;6416;2117;64.267;21.283;0;0;0;;0;0;;0;;
5;2010;2010-04-08 21:35;SCPZ;VINGASKÄR AV STYRSÖ;GG - 500;Swedish vessel;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 24,948;17 01,389;57 24,586;17 01,557;9;2.8;0.42;;55;55;;55;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;50;;Valid;SCPZ.2010.6;5724.948;1701.389;57.416;17.023;0;0;0;;0;0;;0;;1.1
6;2010;2010-06-08 18:50;SCPZ;VINGASKÄR AV STYRSÖ;GG - 500;Swedish vessel;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4361;57 11,700;16 44,000;57 13,200;16 44,700;25;3.5;1.46;;35;38;;36.5;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;50;;Valid;SCPZ.2010.2;5711.7;1644;57.195;16.733;0;0;0;;0;0;;0;;0.9
7;2000;2000-06-02 13:05;SCBD;BOKÖLAND;VY - 76;Swedish vessel;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4361;57 24,300;16 55,400;57 33,100;16 58,800;310;;;;45;;;;314;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR HERRING;;;;;;;;;;Valid;SCBD.2000.4;5724.3;1655.4;57.405;16.923;0;0;0;;0;0;;0;;
8;2014;2014-07-24 00:00;SFB-9664;;SN - 30;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5162;61 20,000;17 10,000;;;1200;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;0;;;;;;;;;Valid;SFB-9664.2014.999;6120;1710;61.333;17.167;0;0;0;;0;0;;0;;
9;2010;2010-05-24 23:44;SCPZ;VINGASKÄR AV STYRSÖ;GG - 500;Swedish vessel;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4361;57 24,598;16 54,011;57 25,286;16 52,409;19;3.9;1.24;;42;43;;42;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;50;;Valid;SCPZ.2010.4;5724.598;1654.011;57.41;16.9;0;0;0;;0;0;;0;;0.8
10;2014;2014-06-01 00:00;SFB-2741;ATHENA;HA - 26;Swedish vessel;80;Coastal Laboratory - DCF;31;Sub-31 (Bottenviken);6067;65 46,000;22 43,000;;;300;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;0;;;;;;;;;Valid;SFB-2741.2014.999;6546;2243;65.767;22.717;0;0;0;;0;0;;0;;
