FROMYEAR;STA_FROMDATETIME;VESS_SIGNAL;VESS_NAME;VESS_DISTRICT;TYPE;STA_SAMPTYPE_CODENOID;SAMPTYPE_NAMEENG;STA_SUBDIV_SUBDIV;SUBNAMN;STA_ICESRECT_RUTA;LATSTART_DEG;LONGSTART_DEG;LATSTOP_DEG;LONGSTOP_DEG;STA_DURATION;STA_SPEED;STA_DIST;STA_COURSE;STA_BOTSTART;STA_BOTSTOP;STA_BOTMAX;STA_BOTAVG;GEARMOD_REDSKAP_REDSKKOD;REDSKENG;GEARMOD_NAMEENG;STA_SELECTIONDEVICE;STA_SELECTIONDEVICEMESH;STA_HEADROPEDEPTHMAX;STA_HEADROPEDEPTHMIN;STA_FOOTROPEDEPTH;TOTD_NAMEENG;TOTD_AREA;STA_SWEEPLENGTH;STA_STROPLENGTHDOORFLOATS;STAVALCODE_DESCENG;index;Lat1;Lon1;LATDD;LONGDD;Size.final..m.;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;sweep both sides (foot);Swept.area;RSA;RS
2015;2015-09-30 00:00;SFC-9622;FILIP;UÅ - 62;Swedish vessel;80;Coastal Laboratory - DCF;31;Sub-31 (Bottenviken);5 665;63 38,000;20 25,000;;;240;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;0;;;;;"Thyborön 100""";4;75;;Valid;SFC-9622.2015.;6338;2025;63.633;20.417;0;0;0;;0;0;;0;;
2016;2016-06-01 00:00;SECT;SETTE MARI;GE - 49;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5 063;60 51,000;18 43,000;;;;;;;;;;;314;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR HERRING;0;;;;;;;;;Valid;SECT.2016.999;6051;1843;60.85;18.717;0;0;0;;0;0;;0;;
2016;2016-09-13 00:00;SFB-6968;ÖRNÖ;HL - 4;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5 262;61 46,000;17 30,000;;;720;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;0;;;;;;;;;Valid;SFB-6968.2016.999;6146;1730;61.767;17.5;0;0;0;;0;0;;0;;
2016;2016-12-07 00:00;SMZN;WESTERÖ AV HÖNÖ;GG - 359;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5 063;60 45,000;18 47,000;61 49,000;18 35,000;1 440;;;;;;;;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;;;;;;;;;Valid;SMZN.2016.999;6045;1847;60.75;18.783;0;0;0;;0;0;;0;;
2015;2015-06-10 00:00;SFB-2741;ATHENA;HA - 26;Swedish vessel;80;Coastal Laboratory - DCF;31;Sub-31 (Bottenviken);6 067;65 43,990;22 41,300;;;480;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;0;;;;;;;;;Valid;SFB-2741.2015.;6543.99;2241.3;65.733;22.688;0;0;0;;0;0;;0;;
2015;2015-11-24 08:30;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 364;57 22,000;19 08,900;57 23,000;19 10,300;30;3;1;;82;88;;85;316;OTB Otter trawl bottom;TV 112 COD TRAWL;;;;;;"Thyborön 100""";4;75;;No oxygen;OXBH.2015.29;5722;1908.9;57.367;19.148;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-11-26 07:15;OXBH;DANA;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4 261;56 32,000;16 55,000;56 33,500;16 55,000;30;3;2;;72;74;;73;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;No oxygen;OXBH.2016.53;5632;1655;56.533;16.917;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-02-22 06:31;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 060;55 46,210;15 14,890;55 46,230;15 17,550;30;3;2;89;57;57;;56;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.10;5546.21;1514.89;55.77;15.248;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-02-25 09:30;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 364;57 12,100;19 03,060;57 13,500;19 03,900;30;3;2;;82;84;;83;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;No oxygen;OXBH.2016.44;5712.1;1903.06;57.202;19.051;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-03-01 14:45;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 364;57 12,000;19 03,000;57 13,400;19 03,800;30;3;2;;82;84;;83;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;No oxygen;OXBH.2015.41;5712;1903;57.2;19.05;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-11-22 07:27;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 363;57 12,880;18 51,060;57 11,650;18 49,560;30;3;1;211;43;42;;43;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.21;5712.88;1851.06;57.215;18.851;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-11-26 07:12;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 061;55 52,170;16 01,260;55 52,250;16 03,930;30;3;2;87;54;53;;54;316;OTB Otter trawl bottom;TV 112 COD TRAWL;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.49;5552.17;1601.26;55.87;16.021;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-02-24 14:00;OXBH;DANA;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 27,200;18 40,100;56 28,500;18 41,500;30;3;2;;73;76;;74;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;No oxygen;OXBH.2016.36;5627.2;1840.1;56.453;18.668;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-11-23 07:16;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 363;57 00,270;18 48,370;57 01,710;18 49,260;30;3;2;19;73;72;;72;316;OTB Otter trawl bottom;TV 112 COD TRAWL;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.19;5700.27;1848.37;57.005;18.806;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-11-20 07:13;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 059;55 38,140;14 36,860;55 39,060;14 38,970;30;3;1;52;59;59;61;60;316;OTB Otter trawl bottom;TV 112 COD TRAWL;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.2;5538.14;1436.86;55.636;14.614;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-10-05 13:48;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4 362;57 05,710;17 52,980;57 07,030;17 48,610;53;3;3;299;75;96;;86;321;OTM Otter trawl midwater;Fotö oneboat pelag floatstock.14;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2016.19;5705.71;1752.98;57.095;17.883;0;0;0;;0;0;;0;;1
2015;2015-10-02 01:15;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4 161;56 04,565;16 16,956;56 02,847;16 12,337;30;4;2;156;37;37;;37;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2015.12;5604.565;1616.956;56.076;16.283;0;0;0;;0;0;;0;;0.8
2015;2015-11-21 13:48;OXBH;DANA;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 23,290;18 36,220;56 24,680;18 37,280;30;3;2;23;78;76;;78;316;OTB Otter trawl bottom;TV 112 COD TRAWL;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.12;5623.29;1836.22;56.388;18.604;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-10-01 12:00;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4 059;55 46,460;14 58,540;55 47,250;14 55,370;67;4;4;354;45;45;;45;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2015.6;5546.46;1458.54;55.774;14.976;0;0;0;;0;0;;0;;0.8
2016;2016-10-06 23:12;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4 562;58 08,170;17 58,390;58 07,990;18 05,580;70;3;4;93;180;100;;156;321;OTM Otter trawl midwater;Fotö oneboat pelag floatstock.14;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2016.31;5808.17;1758.39;58.136;17.973;0;0;0;;0;0;;0;;0.9
2015;2015-10-06 20:53;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4 564;58 07,420;19 43,010;58 06,060;19 45,380;30;4;2;137;157;157;167;157;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2015.62;5807.42;1943.01;58.124;19.717;0;0;0;;0;0;;0;;0.8
2015;2015-03-03 07:13;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 464;57 58,770;19 33,460;58 02,220;19 32,770;30;3;1;333;70;72;;72;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.52;5758.77;1933.46;57.98;19.558;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-10-08 13:27;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 20,553;18 33,159;56 23,660;18 35,576;60;4;4;127;73;72;;70;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2015.78;5620.553;1833.159;56.343;18.553;0;0;0;;0;0;;0;;0.8
2015;2015-11-26 12:20;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 060;55 56,770;15 17,470;55 56,630;15 20,130;30;3;2;95;45;46;;47;316;OTB Otter trawl bottom;TV 112 COD TRAWL;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.53;5556.77;1517.47;55.946;15.291;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-03-02 07:08;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 060;55 50,450;15 17,480;55 49,280;15 15,790;30;3;2;219;49;51;;51;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.95;5550.45;1517.48;55.841;15.291;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-11-24 11:32;OXBH;DANA;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4 362;57 07,630;17 17,420;57 06,140;17 17,120;30;3;1;186;70;74;;72;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.41;5707.63;1717.42;57.127;17.29;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-03-05 15:50;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 162;56 15,400;17 53,170;56 14,220;17 51,560;30;3;2;218;42;51;;46;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.76;5615.4;1753.17;56.257;17.886;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-10-01 21:09;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4 060;55 45,280;15 53,190;55 47,100;15 55,740;41;4;2;37;63;61;;62;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2015.10;5545.28;1553.19;55.755;15.887;0;0;0;;0;0;;0;;0.8
2016;2016-02-22 14:45;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 060;55 52,960;15 34,000;55 54,400;15 34,060;30;3;1;138;50;50;;51;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.16;5552.96;1534;55.883;15.567;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-10-12 16:05;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4 162;56 26,592;17 04,143;56 28,226;17 06,349;36;3;2;37;56;60;;56;321;OTM Otter trawl midwater;Fotö oneboat pelag floatstock.14;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2016.82;5626.592;1704.143;56.443;17.069;0;0;0;;0;0;;0;;0.9
2016;2016-11-21 11:34;OXBH;DANA;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 20,380;18 43,510;56 19,530;18 41,300;30;3;2;235;115;112;;114;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.17;5620.38;1843.51;56.34;18.725;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-02-27 13:00;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 060;55 48,150;15 48,120;55 48,490;15 50,740;30;3;2;77;55;56;;56;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.15;5548.15;1548.12;55.803;15.802;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-02-28 13:30;OXBH;DANA;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 20,000;18 43,000;56 19,200;18 47,700;30;3;2;;110;116;;113;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;No oxygen;OXBH.2015.27;5620;1843;56.333;18.717;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-10-08 02:35;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4 263;56 52,284;18 48,016;56 52,718;18 50,729;26;4;2;73;75;89;;82;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;20;Valid;OXBH.2015.74;5652.284;1848.016;56.871;18.8;0;0;0;;0;0;;0;;0.8
2016;2016-02-25 14:53;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 464;57 40,170;19 03,870;57 41,460;19 05,320;30;3;2;31;36;36;;36;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.49;5740.17;1903.87;57.67;19.065;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-02-23 08:28;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 062;55 53,410;17 43,670;55 54,850;17 44,550;30;3;2;19;61;63;;62;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.20;5553.41;1743.67;55.89;17.728;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-10-06 10:51;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;29S;Sub-29S (Skärgårdshavet, S 59.30);4 665;58 36,059;20 40,151;58 38,881;20 36,790;60;3;3;329;89;103;;94;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2015.58;5836.059;2040.151;58.601;20.669;0;0;0;;0;0;;0;;0.9
2015;2015-03-06 15:18;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 061;55 46,010;16 39,650;55 47,260;16 38,110;30;3;2;325;56;53;;55;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.82;5546.01;1639.65;55.767;16.661;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-03-05 06:30;OXBH;DANA;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4 261;56 32,000;16 55,000;56 33,500;16 55,000;30;3;2;;71;73;;72;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;No oxygen;OXBH.2015.69;5632;1655;56.533;16.917;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-05-19 00:00;SECT;SETTE MARI;GE - 49;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5 063;60 54,000;18 44,000;;;1 200;;;;;;;;314;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR HERRING;0;;;;;;;;;Valid;SECT.2015.999;6054;1844;60.9;18.733;0;0;0;;0;0;;0;;
2015;2015-03-12 00:00;SECT;SETTE MARI;GE - 49;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5 162;61 06,000;17 52,000;;;1 260;;;;;;;;314;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR HERRING;0;;;;;;;;;Valid;SECT.2015.999;6106;1752;61.1;17.867;0;0;0;;0;0;;0;;
