Species;Date;Year;Quarter;Month;Index;Appr. ;Seq. no.;Haul;Validity (haul);Station name;Subsample;Processing;Grade;Sex;Subdivision;Rect.;ICES;Lat.;Lon.;Depth;Duration;Dist.;Doorspread;Opening;Headropedepth;Swept area (km²)/h;Kg/hour;Tot No./hour;Lengthcl;Mean weight;No./hour
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;85;;1312.4
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;90;;3937.1
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;95;;14764.2
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;100;;9186.6
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;105;;3280.9
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;110;;328.1
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;115;;328.1
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;120;;3280.9
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;125;;4265.2
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;130;;4921.4
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;135;;3280.9
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;140;;2952.8
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;145;;2952.8
Sprat;2015-02-26;2015;1;2;OXBH.2015.2;No;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528.9;1436.28;60.3;30;1.49;87.5;5.6;;0.483;505.92;55119.7;150;;328.1
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;85;;58514.2
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;90;;140434.2
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;95;;163839.9
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;100;;78019
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;105;;19504.7
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;110;;7801.9
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;115;;15603.8
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;120;;27306.6
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;125;;15603.8
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;130;;35108.5
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;135;;7801.9
Sprat;2015-02-26;2015;1;2;OXBH.2015.4;No;10049;4;V;11 E STENS HUVUD;0;0;9;;25;4059;40G4;5538.35;1437.37;59.9;30;1.48;83.1;5.9;;0.456;3861.94;577340.5;140;;7801.9
Sprat;2015-02-26;2015;1;2;OXBH.2015.6;No;10050;6;V;RACKAPUTT C;0;0;9;;25;4059;40G4;5540.23;1429.75;49;30;1.5;85.6;5.9;;0.476;6.58;665.6;80;;19
Sprat;2015-02-26;2015;1;2;OXBH.2015.6;No;10050;6;V;RACKAPUTT C;0;0;9;;25;4059;40G4;5540.23;1429.75;49;30;1.5;85.6;5.9;;0.476;6.58;665.6;90;;114.1
Sprat;2015-02-26;2015;1;2;OXBH.2015.6;No;10050;6;V;RACKAPUTT C;0;0;9;;25;4059;40G4;5540.23;1429.75;49;30;1.5;85.6;5.9;;0.476;6.58;665.6;95;;57.1
Sprat;2015-02-26;2015;1;2;OXBH.2015.6;No;10050;6;V;RACKAPUTT C;0;0;9;;25;4059;40G4;5540.23;1429.75;49;30;1.5;85.6;5.9;;0.476;6.58;665.6;100;;114.1
Sprat;2015-02-26;2015;1;2;OXBH.2015.6;No;10050;6;V;RACKAPUTT C;0;0;9;;25;4059;40G4;5540.23;1429.75;49;30;1.5;85.6;5.9;;0.476;6.58;665.6;105;;38
Sprat;2015-02-26;2015;1;2;OXBH.2015.6;No;10050;6;V;RACKAPUTT C;0;0;9;;25;4059;40G4;5540.23;1429.75;49;30;1.5;85.6;5.9;;0.476;6.58;665.6;125;;76.1
Sprat;2015-02-26;2015;1;2;OXBH.2015.6;No;10050;6;V;RACKAPUTT C;0;0;9;;25;4059;40G4;5540.23;1429.75;49;30;1.5;85.6;5.9;;0.476;6.58;665.6;130;;76.1
Sprat;2015-02-26;2015;1;2;OXBH.2015.6;No;10050;6;V;RACKAPUTT C;0;0;9;;25;4059;40G4;5540.23;1429.75;49;30;1.5;85.6;5.9;;0.476;6.58;665.6;135;;57.1
Sprat;2015-02-26;2015;1;2;OXBH.2015.6;No;10050;6;V;RACKAPUTT C;0;0;9;;25;4059;40G4;5540.23;1429.75;49;30;1.5;85.6;5.9;;0.476;6.58;665.6;140;;38
Sprat;2015-02-26;2015;1;2;OXBH.2015.6;No;10050;6;V;RACKAPUTT C;0;0;9;;25;4059;40G4;5540.23;1429.75;49;30;1.5;85.6;5.9;;0.476;6.58;665.6;145;;57.1
Sprat;2015-02-26;2015;1;2;OXBH.2015.6;No;10050;6;V;RACKAPUTT C;0;0;9;;25;4059;40G4;5540.23;1429.75;49;30;1.5;85.6;5.9;;0.476;6.58;665.6;150;;19
Sprat;2015-02-26;2015;1;2;OXBH.2015.7;No;10051;7;V;RACKAPUTT 38 M;0;0;9;;25;4059;40G4;5542.45;1422.79;37.2;30;1.49;76.7;6.5;;0.423;0.068;8;95;;4
Sprat;2015-02-26;2015;1;2;OXBH.2015.7;No;10051;7;V;RACKAPUTT 38 M;0;0;9;;25;4059;40G4;5542.45;1422.79;37.2;30;1.49;76.7;6.5;;0.423;0.068;8;125;;2
Sprat;2015-02-26;2015;1;2;OXBH.2015.7;No;10051;7;V;RACKAPUTT 38 M;0;0;9;;25;4059;40G4;5542.45;1422.79;37.2;30;1.49;76.7;6.5;;0.423;0.068;8;130;;2
Sprat;2015-02-27;2015;1;2;OXBH.2015.10;No;10052;10;V;E VÄNERSBORGSVRAKET;0;0;9;;25;4060;40G5;5541.34;1504.69;67;30;1.52;86;5.1;;0.484;194.24;17023.6;85;;122.5
Sprat;2015-02-27;2015;1;2;OXBH.2015.10;No;10052;10;V;E VÄNERSBORGSVRAKET;0;0;9;;25;4060;40G5;5541.34;1504.69;67;30;1.52;86;5.1;;0.484;194.24;17023.6;90;;244.9
Sprat;2015-02-27;2015;1;2;OXBH.2015.10;No;10052;10;V;E VÄNERSBORGSVRAKET;0;0;9;;25;4060;40G5;5541.34;1504.69;67;30;1.52;86;5.1;;0.484;194.24;17023.6;95;;1592.1
Sprat;2015-02-27;2015;1;2;OXBH.2015.10;No;10052;10;V;E VÄNERSBORGSVRAKET;0;0;9;;25;4060;40G5;5541.34;1504.69;67;30;1.52;86;5.1;;0.484;194.24;17023.6;100;;1347.2
Sprat;2015-02-27;2015;1;2;OXBH.2015.10;No;10052;10;V;E VÄNERSBORGSVRAKET;0;0;9;;25;4060;40G5;5541.34;1504.69;67;30;1.52;86;5.1;;0.484;194.24;17023.6;105;;857.3
Sprat;2015-02-27;2015;1;2;OXBH.2015.10;No;10052;10;V;E VÄNERSBORGSVRAKET;0;0;9;;25;4060;40G5;5541.34;1504.69;67;30;1.52;86;5.1;;0.484;194.24;17023.6;110;;489.9
