Date;Year;Quarter;Month;Appr. status;Seqno;Haul;Validity;Station name;Subsample;Processing;Category;Max maturity;Subdivision;Rect.;ICES;Lengthcl;Fishno;Age;Age quality;Otolith no;Weight;Sex;Maturity;Specimen note;Age quality ;Age quality 
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;180;33;2;;33;68;M;6;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;210;44;4;;44;112;M;6;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;210;42;4;;42;112;M;6;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;220;31;4;;31;140;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;220;32;2;;32;118;M;6;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;220;27;4;;27;134;M;6;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;230;1;4;;1;134;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;230;8;4;;8;166;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;230;20;4;;20;144;M;6;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;240;24;4;;24;164;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;240;29;4;;29;172;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;240;30;4;;30;212;F;5;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;250;4;4;;4;162;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;250;5;4;;5;204;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;250;18;4;;18;188;M;6;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;260;2;4;;2;178;M;5;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;260;19;4;;19;204;M;6;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;260;14;5;;14;172;M;6;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;270;7;5;;7;242;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;270;9;4;;9;212;M;6;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;270;3;5;;3;192;M;6;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;280;11;5;;11;218;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;280;16;5;;16;268;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;280;28;4;;28;212;F;7;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;290;10;5;;10;290;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;290;6;5;;6;354;F;4;;;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;290;17;6;;17;366;F;5;;;
