Date;Year;Quarter;Month;Appr. status;Seqno;Haul;Validity;Station name;Subsample;Processing;Category;Max maturity;Subdivision;Rect.;ICES;Depth;Lengthcl;Age;Weight;Sex;Maturity
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;180;;93;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;180;;82;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;190;;80;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;190;;92;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;200;;107;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;200;;113;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;210;;117;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;210;;120;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;220;;135;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;220;;140;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;230;;120;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;230;;160;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;240;;140;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;240;;195;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;250;;180;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;250;;198;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;260;;168;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;260;;208;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;270;;194;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;270;;285;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;280;;288;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;280;;265;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;290;;282;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;290;;310;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;300;;336;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;300;;297;M;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;310;;313;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;310;;326;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;320;;431;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;320;;513;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;330;;451;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;330;;471;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;340;;502;F;2
2000-11-22;2000;4;11;Final;300;602;V;6,5 SE FÅRÖ;0;0;9;;28;4464;44G9;72;380;;779;F;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;140;;35;F;1
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;150;;39;F;1
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;160;;53;F;1
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;170;;63;M;1
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;180;;72;M;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;190;;84;M;1
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;200;;86;M;1
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;210;;115;M;1
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;220;;115;M;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;230;;191;M;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;240;;163;F;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;250;;164;M;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;260;;232;F;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;270;;222;F;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;280;;294;F;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;290;;284;F;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;300;;263;M;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;310;;376;F;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;320;;500;F;2
2000-11-22;2000;4;11;Final;10603;603;V;5 SE FÅRÖ;0;0;9;;28;4464;44G9;50;330;;485;F;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;160;;53;F;1
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;190;;100;M;1
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;200;;112;M;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;210;;143;M;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;220;;144;M;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;230;;128;M;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;240;;183;M;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;250;;135;M;1
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;260;;221;M;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;270;;286;F;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;280;;309;F;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;290;;327;F;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;300;;281;M;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;310;;458;F;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;320;;365;M;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;330;;544;F;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;340;;584;F;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;360;;612;F;2
2000-11-23;2000;4;11;Final;10606;606;V;5 SE NÄR;0;0;9;;28;4363;43G8;50;370;;620;F;2
2000-11-23;2000;4;11;Final;305;608;V;10 SE NÄR;0;0;9;;28;4363;43G8;69;130;;24;M;1
2000-11-23;2000;4;11;Final;305;608;V;10 SE NÄR;0;0;9;;28;4363;43G8;69;210;;109;M;2
2000-11-23;2000;4;11;Final;305;608;V;10 SE NÄR;0;0;9;;28;4363;43G8;69;220;;120;M;2
2000-11-23;2000;4;11;Final;305;608;V;10 SE NÄR;0;0;9;;28;4363;43G8;69;230;;147;M;2
2000-11-23;2000;4;11;Final;305;608;V;10 SE NÄR;0;0;9;;28;4363;43G8;69;240;;216;F;2
