Species;Date;Year;Quarter;Month;Index;Appr. status;Seqno;Haul;Validity;Station name;Subsam;Processing;Size;Sex;Subdiv;Rect;ICES;Lat;Long;Bottom depth (m);Duration (min);Dist. (Nm);Doorspread (m);Opening (m);Headropedepth (m);Swept area (km2);Kg/hour;Tot. no./hour;Lengthcl. (mm);No./hour;Length measure type;DNA sampleID;NumberToSample;SMHI serial no
dab;1979-03-27;1979;1;3;SEPI.1979.38;Locked;31;38;V;SYD TRELLEBORG;;;;;24;3958;39G3;5512,6;1311;40;60;3,2;;;;;;;;;;;;
dab;1979-03-28;1979;1;3;SEPI.1979.39;Locked;32;39;V;Y18 (W RÖNNE);;;;;24;3958;39G3;5501;1356;49;60;3,6;;;;;;;;;;;;63
dab;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);;;;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;;;;;;;;
dab;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;1,333;8;190;1,3;Total length TL;;;
dab;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;1,333;8;240;2,7;Total length TL;;;
dab;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;1,333;8;260;1,3;Total length TL;;;
dab;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;1,333;8;270;1,3;Total length TL;;;
dab;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;1,333;8;280;1,3;Total length TL;;;
dab;1979-03-29;1979;1;3;SEPI.1979.42;Locked;35;42;V;S 2 (SE SIMRISHAM);;;;;24;3959;39G4;5526,5;1437,6;72;120;;;;;;;;;;;;;
dab;1979-04-02;1979;2;4;SEPI.1979.43;Locked;36;43;V;INNERTORPET (S KARLSKRONA);0;0;9;;25;4060;40G5;5559;1525;46;55;2,95;;;;;,109;1,1;240;1,1;Total length TL;;;
dab;1979-04-02;1979;2;4;SEPI.1979.48;Locked;41;48;V;"SE NÄR ""90M DJ""";;;;;282;4363;43G8;5702,1;1851;92;60;2,8;;;;;;;;;;;;
