Species;Date;Year;Quarter;Month;Index;Appr. status;Seqno;Haul;Validity;Station name;Subsam;Processing;Size;Sex;Subdiv;Rect;ICES;Lat;Long;Bottom depth (m);Duration (min);Dist. (Nm);Doorspread (m);Opening (m);Headropedepth (m);Swept area (km2);Kg/hour;Tot. no./hour;Lengthcl. (mm);No./hour;Length measure type;DNA sampleID;NumberToSample;SMHI serial no
turbot;1979-03-27;1979;1;3;SEPI.1979.38;Locked;31;38;V;SYD TRELLEBORG;;;;;24;3958;39G3;5512,6;1311;40;60;3,2;;;;;;;;;;;;
turbot;1979-03-28;1979;1;3;SEPI.1979.39;Locked;32;39;V;Y18 (W RÖNNE);;;;;24;3958;39G3;5501;1356;49;60;3,6;;;;;;;;;;;;63
turbot;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);;;;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;;;;;;;;
turbot;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);;;;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;;;;;;;;
turbot;1979-03-29;1979;1;3;SEPI.1979.42;Locked;35;42;V;S 2 (SE SIMRISHAM);;;;;24;3959;39G4;5526,5;1437,6;72;120;;;;;;;;;;;;;
turbot;1979-04-02;1979;2;4;SEPI.1979.43;Locked;36;43;V;INNERTORPET (S KARLSKRONA);;;;;25;4060;40G5;5559;1525;46;55;2,95;;;;;;;;;;;;
turbot;1979-04-02;1979;2;4;SEPI.1979.48;Locked;41;48;V;"SE NÄR ""90M DJ""";;;;;282;4363;43G8;5702,1;1851;92;60;2,8;;;;;;;;;;;;
turbot;1979-04-03;1979;2;4;SEPI.1979.44;Locked;37;44;V;"SE NÄR ""40M DJ""";;;;;282;4363;43G8;5710,6;1848,5;47;45;2,3;;;;;;;;;;;;
turbot;1979-04-03;1979;2;4;SEPI.1979.45;Locked;38;45;V;"SE NÄR ""90M DJ""";;;;;282;4363;43G8;5704,3;1853,6;92;60;2,9;;;;;;;;;;;;
turbot;1979-04-03;1979;2;4;SEPI.1979.46;Locked;39;46;V;"SE NÄR ""90 M DJ""";;;;;282;4363;43G8;5702,3;1851;92;60;2,9;;;;;;;;;;;;
turbot;1979-04-03;1979;2;4;SEPI.1979.47;Locked;40;47;V;"SE NÄR ""90 M DJ""";;;;;282;4363;43G8;5704,3;1854;92;60;2,6;;;;;;;;;;;;
turbot;1979-04-04;1979;2;4;SEPI.1979.49;Locked;42;49;V;I U10 (SE UTKLIPPAN);;;;;25;4061;40G6;5544,5;1603,5;68;90;;;;;;;;;;;;;
turbot;1979-04-04;1979;2;4;SEPI.1979.50;Locked;43;50;V;6 NE CHRISTIANSÖ (C12);;;;;25;3960;39G5;5524,6;1519;90;60;2,8;;;;;;;;;;;;65
turbot;1979-04-05;1979;2;4;SEPI.1979.51;Locked;44;51;V;Y17 (S YSTAD);;;;;24;3958;39G3;5512,5;1334;44;60;3;;;;;;;;;;;;
