Species;Date;Year;Quarter;Month;Index;Appr. status;Seqno;Haul;Validity;Station name;Subsam;Processing;Size;Sex;Subdiv;Rect;ICES;Lat;Long;Bottom depth (m);Duration (min);Dist. (Nm);Doorspread (m);Opening (m);Headropedepth (m);Swept area (km2);Kg/hour;Tot. no./hour;Lengthcl. (mm);No./hour;Length measure type;DNA sampleID;NumberToSample;SMHI serial no
whiting;1979-03-27;1979;1;3;SEPI.1979.38;Locked;31;38;V;SYD TRELLEBORG;;;;;24;3958;39G3;5512,6;1311;40;60;3,2;;;;;;;;;;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.39;Locked;32;39;V;Y18 (W RÖNNE);0;0;9;;24;3958;39G3;5501;1356;49;60;3,6;;;;;,03;1;170;1;Total length TL;;;63
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;150;2;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;160;3;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;180;5;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;190;7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;200;1;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;210;3;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;220;1;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;270;1;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;300;1;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;340;2;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;350;1;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.40;Locked;33;40;V;Y18 (WRÖNNE);0;0;9;;24;3859;38G4;5455,6;1401,2;49;60;3,4;;;;;3,2;28;400;1;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;140;2,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;150;1,3;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;160;2,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;170;14,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;180;30,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;190;18,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;200;8;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;210;14,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;220;9,3;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;230;6,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;240;6,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;250;2,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;260;1,3;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;280;1,3;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;290;2,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;300;5,3;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;310;9,3;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;320;2,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;330;6,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;340;6,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;350;8;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;360;1,3;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;380;4;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;390;2,7;Total length TL;;;
whiting;1979-03-28;1979;1;3;SEPI.1979.41;Locked;34;41;V;Y 15 (N ARKONA);0;0;9;;24;3858;38G3;5458;1315,6;48;45;2,3;;;;;27,333;176;400;1,3;Total length TL;;;
