Fartyg;drag;datum;år;mån;årstid;tråltid;sattlat;sattlong;X;Y;Positionsbestämning;område;fångstplats;fiskeområden;bottendjup;tråldjup;check;djupintervall;varp;tråltyp;type;redskap;redskapstyp;satt.kl;halat.kl;bottentyp;distans;halat.lat;halat.long;id;ruta;anm;Hour;IDX_SSB;Field;LATDD;LONGDD;Depth;Size.final..m.;Year;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;Swep.both.side..foot.;Swept.area;RSA;comments;speed;RS
Skagerak;58;1928-07-18;1928;7;2;60;5546;1945;6188980.229;1747312.621;Uppmätt;26;;NA;;;TRUE;;;Fisktrål;dem;Fisktrål;Fisktrål;;;la;;;;1928 Skagerak58;4064;;1;Skagerak,1928,58;,;55.767;19.75;72;12.25296;1929;40.2;12.25296;60;0;0;0;0.068371517;6.64;1928 års fisktrål;2.6;1.15
Skagerak;60;1928-07-20;1928;7;2;55;5722;1904.5;6364804.39;1696500.548;Uppmätt;28;;NA;61-64;61-64;TRUE;30-90;180;Silltrål med vadduk;dem;Silltrål med vadduk;Silltrål;;;la;;;;1928 Skagerak60;4364;;0.916666667;Skagerak,1928,60;,;57.367;19.075;62.5;12.25296;1925;40.2;12.25296;60;0;0;0;0.068371517;6.64;ok;2.6;1.15
Skagerak;61;1928-07-23;1928;7;2;60;5749;2329;6436078.037;1955516.325;Uppmätt;28;Rigaviken;NA;48-50;48-50;TRUE;30-90;150;Silltrål med vadduk;dem;Silltrål med vadduk;Silltrål;;;la, sd;;;;1928 Skagerak61;4468;;1;Skagerak,1928,61;,;57.817;23.483;49;12.25296;1925;40.2;12.25296;60;0;0;0;0.068371517;6.64;ok;2.6;1.15
Skagerak;62;1928-07-27;1928;7;2;35;5736;1956;6393565.677;1746519.282;Uppmätt;28;;NA;128;128;TRUE;>90;350;Silltrål med vadduk;dem;Silltrål med vadduk;Silltrål;;;la, st;;;;1928 Skagerak62;4464;;0.583333333;Skagerak,1928,62;,;57.6;19.933;128;12.25296;1925;40.2;12.25296;60;0;0;0;0.068371517;6.64;ok;2.6;1.15
Skagerak;63;1928-07-27;1928;7;2;60;5743;1937;6405437.944;1726877.232;Uppmätt;28;;NA;96;96;TRUE;>90;250;Silltrål med vadduk;dem;Silltrål med vadduk;Silltrål;;;;;;;1928 Skagerak63;4464;;1;Skagerak,1928,63;,;57.717;19.617;96;12.25296;1925;40.2;12.25296;60;0;0;0;0.068371517;6.64;ok;2.6;1.15
Skagerak;64;1928-07-28;1928;7;2;60;5753.5;1928;6424416.289;1716893.105;Uppmätt;28;;NA;64;64;TRUE;30-90;180;Silltrål med vadduk;dem;Silltrål med vadduk;Silltrål;;;;;;;1928 Skagerak64;4464;;1;Skagerak,1928,64;,;57.892;19.467;64;12.25296;1925;40.2;12.25296;60;0;0;0;0.068371517;6.64;ok;2.6;1.15
Skagerak;80;1928-11-10;1928;11;2;30;5519;1410;6133075.923;1395793.332;Skattad;24;Sandhammaren;NA;16;16;TRUE;<30;50;Bornholmstrål;dem;;;;;;;;;1928 Skagerak80;;;0.5;Skagerak,1928,80;,;55.317;14.167;16;12.25296;1929;40.2;12.25296;60;0;0;0;0.068371517;6.64;ok;2.6;1.15
Skagerak;19;1930-02-10;1930;2;1;60;5502;1347.5;6102168.824;1371080.683;Uppmätt;24;;NA;48-49;48-49;TRUE;30-90;150;1927 års silltrål med fin duk innuti.;dem;Silltrål;Trål;14.20;15.20;la;;;;1930 Skagerak 19;3956;Sill, Skarpsill ofullständigt mätt;1;Skagerak,1930,19;,;55.033;13.792;48.5;12.25296;1929;40.2;12.25296;60;0;0;0;0.068371517;6.64;1927 års silltrål;2.6;1.15
Skagerak;23;1930-02-12;1930;2;1;60;5517.5;1516.5;6129194.896;1466125.684;Uppmätt;25;;NA;79-81;79-81;TRUE;30-90;230;1927 års silltrål med vadduk.;dem;Silltrål;Trål;8.30;9.30;la;;;;1930 Skagerak 23;3954;;1;Skagerak,1930,23;,;55.292;15.275;80;12.25296;1929;40.2;12.25296;60;0;0;0;0.068371517;6.64;1927 års silltrål;2.6;1.15
Skagerak;24;1930-02-12;1930;2;1;60;5512;1506.5;6119084.94;1455436.601;Uppmätt;25;N Bornholm;NA;61;61;TRUE;30-90;150;1927 års silltrål med vadduk.;dem;Silltrål;Trål;12.45;13.45;la, gr;;;;1930 Skagerak 24;3954;;1;Skagerak,1930,24;,;55.2;15.108;61;12.25296;1929;40.2;12.25296;60;0;0;0;0.068371517;6.64;1927 års silltrål;2.6;1.15
