latin_name,common_name,SpecCodeType,SpecCode
Gadus morhua,cod,T,164712
Gadus morhua,cod,W,126436
Platichthys flesus,flounder,T,172894
Platichthys flesus,flounder,W,127141
Platichthys solemdali,flounder,W,1264298
Limanda limanda,dab,T,172881
Limanda limanda,dab,W,127139
Merlangius merlangus,whiting,T,164758
Merlangius merlangus,whiting,W,126438
Pleuronectes platessa,plaice,T,172902
Pleuronectes platessa,plaice,W,127143
Scophthalmus maximus,turbot,T,172748
Scophthalmus maximus,turbot,W,127149
Psetta maxima,turbot,T,616195
Psetta maxima,turbot,W,154473
